"affy_hg_u133_plus_2"	"hgnc_symbol"
"348"	"210529_s_at"	"TCAF1P1"
"349"	"217027_x_at"	""
"350"	"214349_at"	""
"351"	"1565152_at"	""
"352"	"1564070_s_at"	""
"353"	"1564069_at"	""
"354"	"1556206_at"	"LINC00408"
"355"	"201762_s_at"	"PSME2P2"
"356"	"225119_at"	"CHMP4B"
"357"	"225498_at"	"CHMP4B"
"358"	"212524_x_at"	""
"359"	"205747_at"	"CBLN1"
"360"	"1560432_at"	""
"361"	"202086_at"	"MX1"
"362"	"227330_x_at"	""
"363"	"229748_x_at"	""
"364"	"227715_at"	""
"365"	"229999_at"	"RBMX"
"366"	"225310_at"	"RBMX"
"367"	"213762_x_at"	"RBMX"
"368"	"1556336_at"	"RBMX"
"369"	"1558954_at"	"SNORA78"
"370"	"228645_at"	"SNORA78"
"371"	"228642_at"	""
"372"	"237047_at"	"FAM230C"
"373"	"231467_at"	""
"374"	"214271_x_at"	"SNORA65"
"375"	"220244_at"	"LMCD1"
"376"	"218574_s_at"	"LMCD1"
"377"	"240306_at"	"LMCD1"
"378"	"229706_at"	"TCERG1"
"379"	"202396_at"	"TCERG1"
"380"	"238838_at"	"TCERG1"
"381"	"208682_s_at"	"SNORA11"
"382"	"200090_at"	"FNTA"
"383"	"209471_s_at"	"FNTA"
"384"	"230808_at"	"FNTA"
"385"	"220678_at"	""
"386"	"203314_at"	"GTPBP6"
"387"	"232863_at"	"ZNF890P"
"388"	"222868_s_at"	"IL18BP"
"389"	"224283_x_at"	"IL18BP"
"390"	"219021_at"	"IL18BP"
"391"	"219323_s_at"	"IL18BP"
"392"	"220739_s_at"	"CNNM3"
"393"	"223774_at"	"SNORA16A"
"394"	"1563071_at"	""
"395"	"208769_at"	"EIF4EBP2"
"396"	"224653_at"	"EIF4EBP2"
"397"	"224645_at"	"EIF4EBP2"
"398"	"208770_s_at"	"EIF4EBP2"
"399"	"237718_at"	""
"400"	"217185_s_at"	"ZNF259P1"
"401"	"217186_at"	"ZNF259P1"
"402"	"200910_at"	"CCT3"
"403"	"221202_at"	""
"404"	"228424_at"	"NAALADL1"
"405"	"207895_at"	"NAALADL1"
"406"	"207778_at"	"REG1P"
"407"	"207646_s_at"	"CDY2B"
"408"	"207647_at"	"CDY2B"
"409"	"210881_s_at"	"MIR483"
"410"	"223439_at"	"NKAP"
"411"	"228493_at"	"NKAP"
"412"	"1561064_a_at"	""
"413"	"229859_at"	""
"414"	"215841_at"	"GUCA1B"
"415"	"1553427_at"	"ADAMTS15"
"416"	"229004_at"	"ADAMTS15"
"417"	"203551_s_at"	"COX11"
"418"	"211727_s_at"	"COX11"
"419"	"214277_at"	"COX11"
"420"	"203669_s_at"	"MIR6848"
"421"	"1552729_at"	"SNORA43"
"422"	"223425_at"	""
"423"	"202354_s_at"	"MIR6885"
"424"	"242878_at"	""
"425"	"243897_at"	""
"426"	"203122_at"	"TRAPPC12"
"427"	"208515_at"	""
"428"	"218089_at"	""
"429"	"234715_at"	"RN7SL818P"
"430"	"237801_at"	""
"431"	"214693_x_at"	"NBPF26"
"432"	"215434_x_at"	"NBPF26"
"433"	"201104_x_at"	"NBPF26"
"434"	"226740_x_at"	"NBPF26"
"435"	"229447_x_at"	"NBPF26"
"436"	"201103_x_at"	"NBPF26"
"437"	"213612_x_at"	"NBPF26"
"438"	"213256_at"	"MARCH3"
"439"	"230385_at"	"MARCH3"
"440"	"217149_x_at"	"TNK1"
